ubigeo,departamento,provincia,distrito,IASE_base,IASE_alt,clase_base,clase_alt,rank_base,rank_alt,rank_change,clase_change
120433,JUNIN,JAUJA,YAULI,0.2875114736277131,0.4272989564733157,Bajo,Medio,708,685,23,True
090510,HUANCAVELICA,CHURCAMPA,PACHAMARCA,0.28712759831402257,0.4306913974710339,Bajo,Medio,709,673,36,True
081101,CUSCO,PAUCARTAMBO,PAUCARTAMBO,0.287122523230217,0.4227472769088175,Bajo,Medio,710,701,9,True
040203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,0.2865007586254906,0.42181463000172803,Bajo,Medio,711,703,8,True
040114,AREQUIPA,AREQUIPA,POLOBAYA,0.28635027713258954,0.42555716173063035,Bajo,Medio,712,689,23,True
090410,HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,0.286304713330725,0.4254888160278335,Bajo,Medio,713,690,23,True
080908,CUSCO,LA CONVENCION,SANTA TERESA,0.2856897910047706,0.41662992460239406,Bajo,Medio,714,725,-11,True
051003,AYACUCHO,VICTOR FAJARDO,APONGO,0.28557627030521865,0.424396151489574,Bajo,Medio,715,696,19,True
230203,TACNA,CANDARAVE,CAMILACA,0.2855080121782091,0.4163572563625518,Bajo,Medio,716,726,-10,True
050605,AYACUCHO,LUCANAS,CHAVIÃA,0.2854300572175185,0.4241768318580238,Bajo,Medio,717,697,20,True
110502,ICA,PISCO,HUANCANO,0.28523385751909436,0.4199142783421337,Bajo,Medio,718,708,10,True
051010,AYACUCHO,VICTOR FAJARDO,HUALLA,0.28479217513718463,0.41925112963017563,Bajo,Medio,719,711,8,True
230404,TACNA,TARATA,ESTIQUE-PAMPA,0.28407558320390247,0.42214512083759975,Bajo,Medio,720,702,18,True
180105,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,0.28399821773892364,0.4140925647036236,Bajo,Medio,721,735,-14,True
080801,CUSCO,ESPINAR,ESPINAR,0.28381682113606754,0.40850129025014376,Bajo,Medio,722,756,-34,True
210706,PUNO,LAMPA,PALCA,0.28366388250825564,0.42152756979412953,Bajo,Medio,723,704,19,True
230302,TACNA,JORGE BASADRE,ILABAYA,0.28362228522890154,0.41749691990684434,Bajo,Medio,724,717,7,True
210209,PUNO,AZANGARO,POTONI,0.283613469082689,0.4174836956875255,Bajo,Medio,725,718,7,True
090405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,0.28359587280994736,0.4174573012784131,Bajo,Medio,726,719,7,True
040503,AREQUIPA,CAYLLOMA,CABANACONDE,0.28317837517440836,0.41683105482510463,Bajo,Medio,727,724,3,True
090404,HUANCAVELICA,CASTROVIRREYNA,CAPILLAS,0.2830112075326958,0.4205485573307898,Bajo,Medio,728,706,22,True
